tweet_id,fav_count,retweet_count
669564461267722241,375,118
669567591774625800,228,53
669571471778410496,1545,977
669573570759163904,424,134
669583744538451968,1445,888
669597912108789760,501,145
669603084620980224,921,347
669625907762618368,3419,1745
669661792646373376,785,413
669680153564442624,649,272
669682095984410625,345,129
669683899023405056,378,105
669749430875258880,254,63
669753178989142016,783,379
669923323644657664,227,53
669926384437997569,364,94
669942763794931712,489,154
669970042633789440,293,55
669972011175813120,427,149
669993076832759809,314,81
670003130994700288,320,87
670037189829525505,576,261
670040295598354432,731,106
670046952931721218,625,165
670055038660800512,647,316
670061506722140161,738,319
670069087419133954,605,226
670073503555706880,1518,757
670079681849372674,2153,1175
670086499208155136,677,244
670093938074779648,994,317
670290420111441920,676,271
670303360680108032,419,126
670319130621435904,3762,1170
670338931251150849,416,103
670361874861563904,320,63
670374371102445568,725,259
670385711116361728,546,195
670403879788544000,412,145
670408998013820928,538,211
670411370698022913,1956,852
670417414769758208,553,309
670420569653809152,604,302
670421925039075328,1264,607
670427002554466305,508,154
670428280563085312,1339,594
670433248821026816,319,106
670434127938719744,1358,620
670435821946826752,1020,494
670442337873600512,628,191
670444955656130560,6511,1905
670449342516494336,1161,629
670452855871037440,531,195
670465786746662913,941,526
670468609693655041,347,84
670474236058800128,1462,711
670668383499735048,10332,4815
670676092097810432,241,40
670679630144274432,728,272
670691627984359425,575,231
670704688707301377,752,357
670717338665226240,1157,467
670727704916926465,803,343
670733412878163972,930,495
670755717859713024,426,106
670764103623966721,1044,403
670778058496974848,320,71
670780561024270336,766,279
670782429121134593,1505,739
670783437142401025,802,372
670786190031921152,583,195
670789397210615808,643,227
670792680469889025,801,264
670797304698376195,713,229
670803562457407488,332,84
670804601705242624,1893,918
670807719151067136,1126,472
670811965569282048,1093,261
670815497391357952,3068,1481
670822709593571328,588,91
670823764196741120,751,181
670826280409919488,5338,3907
670832455012716544,711,208
670833812859932673,427,118
670838202509447168,1077,669
670840546554966016,569,187
670842764863651840,23852,8360
670995969505435648,1078,283
671109016219725825,1110,419
671115716440031232,1326,749
671122204919246848,3378,2422
671134062904504320,722,185
671138694582165504,893,386
671141549288370177,1113,633
671147085991960577,648,204
671151324042559489,647,149
671154572044468225,686,210
671159727754231808,359,78
671163268581498880,1599,1055
671166507850801152,848,331
671182547775299584,1084,324
671186162933985280,710,204
671347597085433856,927,414
671355857343524864,471,114
671357843010908160,387,147
671362598324076544,1071,286
671390180817915904,1397,718
671485057807351808,736,226
671486386088865792,564,189
671488513339211776,972,458
671497587707535361,888,430
671504605491109889,6767,3419
671511350426865664,1546,679
671518598289059840,919,284
671520732782923777,1349,511
671528761649688577,816,249
671533943490011136,989,557
671536543010570240,1133,389
671538301157904385,906,374
671542985629241344,1055,541
671544874165002241,1904,1012
671547767500775424,1300,571
671561002136281088,12379,6967
671729906628341761,8221,4189
671735591348891648,1395,728
671743150407421952,727,228
671744970634719232,1310,733
671763349865160704,1618,874
671768281401958400,1155,481
671789708968640512,6837,3343
671855973984772097,871,419
671866342182637568,1086,473
671874878652489728,1209,529
671879137494245376,1366,641
671882082306625538,3356,1339
671891728106971137,1276,558
671896809300709376,8236,4019
672068090318987265,1252,500
672082170312290304,910,352
672095186491711488,972,357
672125275208069120,2312,1100
672139350159835138,1691,668
672160042234327040,843,343
672169685991993344,989,353
672205392827572224,2188,1111
672222792075620352,758,204
672231046314901505,1775,968
672239279297454080,867,312
672245253877968896,664,149
